x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.8637313874424475e-11,-9.579015228591836e-11,-2.0145775629296092e-10,-3.4563937215820184e-10,-5.283339299909373e-10,-7.495397375684165e-10,-1.0092568681827063e-9,-1.307483636116269e-9,-1.6442196150608102e-9,-2.0194631158293452e-9,-2.433213556422148e-9,-2.885470091161524e-9,-3.3762317984756263e-9,-3.905497364745103e-9,-4.473265241729252e-9,-5.0795358631089416e-9,-5.724307194053535e-9,-6.407577952168703e-9,-7.1293483551622405e-9,-7.889616196465887e-9,-8.688381345541701e-9,-9.525641986134203e-9,-1.040139747769675e-8,-1.1315647313690086e-8,-1.2268389887326592e-8,-1.3259624714618418e-8,-1.428934986221625e-8,-1.5357564908582283e-8,-1.64642686073177e-8,-1.7609460920692266e-8,-1.879313946909905e-8,-2.0015303912098575e-8,-2.1275953085257704e-8,-2.2575085821107538e-8,-2.3912701199810954e-8,-2.5288798588193884e-8,-2.6703377023484798e-8,-2.815643449557287e-8,-2.9647970624987335e-8,-3.117798442770631e-8,-3.274647449947113e-8,-3.435344083030714e-8,-3.599888096644799e-8,-3.768279455834689e-8,-3.9405180878721024e-8,-4.11660387397185e-8,-4.296536582938659e-8,-4.480316359752046e-8,-4.6679428558626945e-8,-4.8594160880106874e-8,-5.054735993659243e-8,-5.253902350633652e-8,-5.456915084297437e-8,-5.663774174788014e-8,-5.8744794677149936e-8,-6.089030782927343e-8,-6.307428156854256e-8,-6.52967133583579e-8,-6.755760338433489e-8,-6.985694983759061e-8,-7.219475181997198e-8,-7.457100878634215e-8,-7.69857185496485e-8,-7.943888107172711e-8,-8.19304948355623e-8,-8.446055899200694e-8,-8.702907225866668e-8,-8.963603334317255e-8,-9.228144225680024e-8,-9.496529646945556e-8,-9.768759607568095e-8,-1.0044833897732836e-7,-1.0324752537952883e-7,-1.0608515303234603e-7,-1.0896122075877007e-7,-1.1187572891658767e-7,-1.1482867525629617e-7,-1.1782005910569021e-7,-1.2084987878989428e-7,-1.2391813402398005e-7,-1.270248232419259e-7,-1.3016994515873542e-7,-1.3335349926309886e-7,-1.365754840683582e-7,-1.3983589903458077e-7,-1.4313474238063922e-7,-1.4647201322529405e-7,-1.4984771068123418e-7,-1.532618330917987e-7,-1.5671437957791648e-7,-1.602053497232539e-7,-1.63734741992147e-7,-1.673025552253668e-7,-1.709087878139573e-7,-1.7455343974664278e-7,-1.7823650881555395e-7,-1.819579945605554e-7,-1.8571789552361204e-7,-1.8951621086164827e-7,-1.9335293917647697e-7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16
1.0319754599474873e-11,2.0636677696556083e-11,3.094859655008997e-11,4.125446468813965e-11,5.1551645331021634e-11,6.183804553486216e-11,7.211235471607513e-11,8.23721412260281e-11,9.261650170747093e-11,1.0284299106766426e-10,1.130494339633692e-10,1.2323383025841794e-10,1.3339510832738322e-10,1.4353083695531343e-10,1.5363931567952127e-10,1.6371820392435676e-10,1.7376687632200682e-10,1.8378191720194725e-10,1.9376198085244156e-10,2.0370540107159107e-10,2.1361071808959076e-10,2.234755011251699e-10,2.332977916755241e-10,2.4307574009174715e-10,2.528075171079336e-10,2.6249178828804953e-10,2.7212633405340747e-10,2.8170903023511107e-10,2.9123769281630407e-10,3.007109465949509e-10,3.1012729493837266e-10,3.194839393039217e-10,3.287801337605034e-10,3.380131010158327e-10,3.471814645668314e-10,3.562827389884393e-10,3.6531573339299017e-10,3.7427795021235943e-10,3.831679153652734e-10,3.9198403160509154e-10,4.007238733547136e-10,4.093857548966018e-10,4.179676691556944e-10,4.2646826564976537e-10,4.3488553383430606e-10,4.4321699392210756e-10,4.514613002014334e-10,4.596166316463146e-10,4.676803102773852e-10,4.756516105465514e-10,4.835279364401313e-10,4.913079140571319e-10,4.989889274345516e-10,5.065698715535361e-10,5.140487389053428e-10,5.214236689990437e-10,5.28691937017739e-10,5.358528304237609e-10,5.429040732599089e-10,5.498436276597796e-10,5.566701747998504e-10,5.633807101390609e-10,5.699746798669414e-10,5.764495035823214e-10,5.828036399833925e-10,5.890343031042522e-10,5.951410917900968e-10,6.011207486639192e-10,6.069726709093115e-10,6.126944403217482e-10,6.18283939671227e-10,6.237391610153242e-10,6.290589616049502e-10,6.34241106682587e-10,6.392837587423927e-10,6.441850390788428e-10,6.489428465081271e-10,6.535557169236317e-10,6.580219789192876e-10,6.623391852339511e-10,6.665057056612356e-10,6.705199624701397e-10,6.743796181207795e-10,6.780830081459799e-10,6.816277772249413e-10,6.850135883876285e-10,6.882367683570811e-10,6.91296400765623e-10,6.941909495156162e-10,6.969177756589728e-10,6.994756648892597e-10,7.01862180353674e-10,7.040757464896186e-10,7.061143922175439e-10,7.07976488632106e-10,7.096599878922416e-10,7.111634415038481e-10,7.124844611863801e-10,7.136211231315026e-10,7.145724168627909e-10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,-2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0
7.24092660830955e-13,1.4488948235635846e-12,2.173631934165865e-12,2.899158343949715e-12,3.6237189464383146e-12,4.349500794254002e-12,5.074943503630136e-12,5.800100850994472e-12,6.526048798582984e-12,7.251792916163069e-12,7.977818058946262e-12,8.704393542752209e-12,9.430521034220485e-12,1.0156948632850105e-11,1.0883940450290286e-11,1.1610583154630927e-11,1.2337242772525459e-11,1.3064498701614857e-11,1.3791553836461912e-11,1.4518903874299882e-11,1.5246519758510546e-11,1.597456628782412e-11,1.6701922830875127e-11,1.743004742274512e-11,1.8157961679393653e-11,1.888647658404574e-11,1.9614295430903095e-11,2.034284633106731e-11,2.1071685195328538e-11,2.1800277295175308e-11,2.2528987356218444e-11,2.3257630196726886e-11,2.3986843761258925e-11,2.4715827908611265e-11,2.5445535869333957e-11,2.617469956056606e-11,2.6904269610772413e-11,2.763346235862274e-11,2.836321845792189e-11,2.9092831442534273e-11,2.9822594914408196e-11,3.0552372697750796e-11,3.12821266286456e-11,3.201258485727165e-11,3.2742900404891806e-11,3.3473118374316435e-11,3.420289745870164e-11,3.4933364360945074e-11,3.566374712909992e-11,3.639416285700081e-11,3.712469177560851e-11,3.785527100119701e-11,3.85858111955073e-11,3.931666233900066e-11,4.0047632744733e-11,4.0778342508263066e-11,4.150898028076888e-11,4.2239635400509457e-11,4.297083956023018e-11,4.370122146102329e-11,4.4432194468840835e-11,4.516346151228756e-11,4.589367991539306e-11,4.662504757280139e-11,4.735593427812601e-11,4.80864549567972e-11,4.881734122844095e-11,4.954850548952172e-11,5.027943512925237e-11,5.100996318049833e-11,5.174060398877023e-11,5.24714815867966e-11,5.3202213901731854e-11,5.393332525374661e-11,5.4664076650640103e-11,5.539443816843237e-11,5.61253205369483e-11,5.685573973429614e-11,5.758649286591311e-11,5.831668698288994e-11,5.90476179236632e-11,5.977777214200009e-11,6.050816531849579e-11,6.123835813443002e-11,6.196867194732669e-11,6.269900527586247e-11,6.342910745249508e-11,6.415897153833061e-11,6.488900302498157e-11,6.561884108996496e-11,6.634894023083149e-11,6.707900467722849e-11,6.78086046514148e-11,6.853823758534716e-11,6.926869104348365e-11,6.999862928874778e-11,7.072894006587838e-11,7.145903833938316e-11,7.218908370382193e-11,7.29191780741989e-11
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,-2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,-1.1102230246251565e-16,0.0,0.0,0.0,-2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0
7.248190762865203e-13,1.4499512701604544e-12,2.1748484090033937e-12,2.900275505868244e-12,3.624588042899779e-12,4.349792227797966e-12,5.074653804809648e-12,5.7989984342254886e-12,6.523835291427638e-12,7.2476469270554844e-12,7.972600444411393e-12,8.696539148533855e-12,9.420879874821875e-12,1.0145326419241929e-11,1.0869876179708804e-11,1.1594026953776204e-11,1.2318066705541142e-11,1.3042341078656206e-11,1.3766101539941511e-11,1.4490380249865265e-11,1.5214207064323526e-11,1.593782224251772e-11,1.6661664235806395e-11,1.7385349236620495e-11,1.810932957410638e-11,1.8832565715221072e-11,1.9556434596723626e-11,2.0279939186296225e-11,2.1003167521155275e-11,2.172679917922249e-11,2.2449588629042116e-11,2.317337120805174e-11,2.3896626431124668e-11,2.4620079846354725e-11,2.534308136611929e-11,2.606639253402432e-11,2.6789250505421247e-11,2.7512340496083088e-11,2.823494216208644e-11,2.8958085929176036e-11,2.968087581267653e-11,3.040364401213358e-11,3.112629771984121e-11,3.184848652165728e-11,3.257141474935499e-11,3.329384988190465e-11,3.401641728711935e-11,3.4739276559558885e-11,3.546135910956205e-11,3.6184123839572147e-11,3.690645879184107e-11,3.7628929052541116e-11,3.835132645485517e-11,3.9073700004721434e-11,3.979629690023523e-11,4.051837424606797e-11,4.124077034733942e-11,4.196318336216476e-11,4.2685843575085425e-11,4.340810697001096e-11,4.4131459337598544e-11,4.485421496031039e-11,4.557705862023864e-11,4.630031384331157e-11,4.702387047458845e-11,4.7748173470640864e-11,4.847343099828594e-11,4.920178110420781e-11,4.993519790372214e-11,5.0676262231680314e-11,5.142869116681048e-11,5.219726994382112e-11,5.298867247760519e-11,5.3809945214922106e-11,5.46711009796752e-11,5.558189498933164e-11,5.6554764343852426e-11,5.760405000221347e-11,5.874469313771336e-11,5.999610183660131e-11,6.137820026536067e-11,6.291390412110909e-11,6.46307716546668e-11,6.655754723403073e-11,6.872880346439625e-11,7.118046430054648e-11,7.395330181569904e-11,7.709387295218306e-11,8.065194475811999e-11,8.468350326529261e-11,8.924778277519252e-11,9.441376239843757e-11,1.0025275878552953e-10,1.0684591839754676e-10,1.1427961615212423e-10,1.22648724509844e-10,1.3205676135941147e-10,1.4261499880346973e-10,1.5444273420914256e-10,1.676712249945589e-10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0
7.247045845371058e-13,1.4498198648571492e-12,2.1747304478070273e-12,2.9001731571831613e-12,3.624580236644137e-12,4.349828223310093e-12,5.074670718363539e-12,5.798980219628991e-12,6.5238474344919695e-12,7.247764888251851e-12,7.972374930359516e-12,8.69692078769857e-12,9.421233758410974e-12,1.0145612214934596e-11,1.086961900695349e-11,1.1594154889632557e-11,1.2318186835141853e-11,1.3042464677703869e-11,1.3766616752813876e-11,1.4490253615051518e-11,1.5214315050859906e-11,1.5937964923523618e-11,1.666190319396521e-11,1.7385656716356612e-11,1.8109759785528423e-11,1.883346300093902e-11,1.955726119245993e-11,2.0281056781895623e-11,2.1005405314439285e-11,2.1729124142361167e-11,2.2453164327806974e-11,2.31774252568151e-11,2.3901345746341063e-11,2.4626422862744635e-11,2.535224504288114e-11,2.6081338044131597e-11,2.6815047578232498e-11,2.755772172957638e-11,2.831304158137926e-11,2.9085949360824204e-11,2.98851143484824e-11,3.071962953113405e-11,3.1601538660191997e-11,3.254443806458007e-11,3.356472001378452e-11,3.468338940701421e-11,3.5922095593249326e-11,3.7309445463651336e-11,3.8876244671387505e-11,4.065879967776742e-11,4.2698765963938845e-11,4.504342255087779e-11,4.774724409253861e-11,5.0871427296345084e-11,5.448367581747937e-11,5.866192731227016e-11,6.349295872051797e-11,6.907196212560529e-11,7.550781310969312e-11,8.291829419262986e-11,9.143598725391833e-11,1.0120492855217322e-10,1.123850526529857e-10,1.2515033584112323e-10,1.396695098986045e-10,1.495983194092776e-10,1.5578516037936807e-10,1.6705707477082665e-10,1.8681321333618994e-10,2.1904127817107266e-10,2.6886788411992213e-10,3.434039797314825e-10,4.5165894765539227e-10,6.041912430435059e-10,8.13341812736651e-10,1.0932711962292896e-9,1.4600517028034998e-9,1.9318343673878358e-9,2.529018299033542e-9,3.2744243831130115e-9,4.19358882558854e-9,5.315304957027173e-9,6.671547753047541e-9,8.297501754260528e-9,1.0231718120326527e-8,1.2516255615269145e-8,1.5196798149735846e-8,1.8322750171707175e-8,2.1947293029397213e-8,2.6127411313463245e-8,3.092386828855084e-8,3.6401131322735814e-8,4.262724323089023e-8,4.967362807976189e-8,5.761483231822573e-8,6.652819930846529e-8,7.649346509853994e-8,8.759228981025657e-8,9.990771685907535e-8,1.1352357128348659e-7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,-2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,-1.1102230246251565e-16,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,-1.1102230246251565e-16,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,-1.1102230246251565e-16,-2.220446049250313e-16,-3.3306690738754696e-16,-4.440892098500626e-16,-6.661338147750939e-16,-8.881784197001252e-16,-1.3322676295501878e-15,-1.6653345369377348e-15,-2.220446049250313e-15,-2.9976021664879227e-15,-3.774758283725532e-15,-4.6629367034256575e-15,-5.88418203051333e-15,-7.327471962526033e-15,-8.881784197001252e-15,-1.0658141036401503e-14,-1.2656542480726785e-14,-1.509903313490213e-14,-1.7985612998927536e-14,-2.1316282072803006e-14,-2.4868995751603507e-14,-2.90878432451791e-14
7.24692875153643e-13,1.4497929766432716e-12,2.174745626637442e-12,2.9002434134839383e-12,3.624588476580648e-12,4.349832126437914e-12,5.074884956712822e-12,5.7993709660919546e-12,6.5245179051154345e-12,7.2491301156274446e-12,7.974480017297614e-12,8.701106675446102e-12,9.432012029048087e-12,1.0171466967301424e-11,1.0925270670786302e-11,1.170343249395911e-11,1.251950192820983e-11,1.3393829881996888e-11,1.4349287816989298e-11,1.5419931390786568e-11,1.6645847027152438e-11,1.807716823454264e-11,1.9775814232708688e-11,2.181673938728146e-11,2.4289157490864355e-11,2.7300044169731308e-11,3.0975210243977536e-11,3.546194718082041e-11,4.0930886284484824e-11,4.757853703032944e-11,5.563158310753491e-11,6.534730048746162e-11,7.70176470342443e-11,8.480406958263909e-11,8.927367785988016e-11,9.851458537823987e-11,1.1627494670221616e-10,1.4719320467343477e-10,1.9729837208437573e-10,2.7481661087416787e-10,3.9061192214778773e-10,5.58174045178772e-10,7.936163896188342e-10,1.1159317450139261e-9,1.5473260919079967e-9,2.11367961805084e-9,2.8452911684725968e-9,3.777010333400749e-9,4.948469266297106e-9,6.4044435818012835e-9,8.195194545548845e-9,1.0376777494127548e-8,1.3011302729681873e-8,1.616713416526666e-8,1.991901115274211e-8,2.434806673033002e-8,2.9541737400946844e-8,3.559353345915228e-8,4.2602666931994965e-8,5.067351826430061e-8,5.99149301209849e-8,7.043933577437558e-8,8.236172662975938e-8,9.579846524518029e-8,1.1149248944387902e-7,1.5075873194226805e-7,2.421852011266941e-7,4.048090473311554e-7,6.51299675418545e-7,9.96512010376007e-7,1.4765550909656353e-6,2.133340701106299e-6,3.0021101556200816e-6,4.118704149648315e-6,5.522999398320169e-6,7.25580389806255e-6,9.361985122093974e-6,1.1890762469823034e-5,1.4896015818660104e-5,1.8436612532093336e-5,2.258324211850283e-5,2.7413551785252042e-5,3.300549816901907e-5,3.944362063069539e-5,4.681945602321401e-5,5.523190242134575e-5,6.478767644104528e-5,7.560173073372419e-5,8.77976850845192e-5,0.00010150828064583962,0.0001168758234409515,0.00013405264348416218,0.0001532015490581535,0.00017449628705028773,0.00019812200742595765,0.00022427573145288038,0.00025316674542093416,0.00028501710787355106,0.0003200620705467337,0.0003585505098068044
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,-1.1102230246251565e-16,-2.220446049250313e-16,-4.440892098500626e-16,-5.551115123125783e-16,-8.881784197001252e-16,-9.992007221626409e-16,-1.3322676295501878e-15,-1.7763568394002505e-15,-2.220446049250313e-15,-2.886579864025407e-15,-3.552713678800501e-15,-4.107825191113079e-15,-5.10702591327572e-15,-5.995204332975845e-15,-7.105427357601002e-15,-8.548717289613705e-15,1.5467358505105722e-9,3.896298217398453e-8,1.663844448884788e-7,4.00128614908013e-7,7.547775904281906e-7,1.2488467280302729e-6,1.9462961029503845e-6,2.9368997367384964e-6,4.257513559702275e-6,5.953620896059775e-6,8.075129029672112e-6,1.0670683159297312e-5,1.3793817881913029e-5,1.7502827210025274e-5,2.186089292699478e-5,2.6936287853329688e-5,3.281589316683764e-5,3.959114326668178e-5,4.7348447150374895e-5,5.618122977035789e-5,6.61897585476634e-5,7.748127690443418e-5,9.01703289211131e-5,0.0001043790457631033,0.00012023745599698543,0.00013788382851043224,0.00015746500246560657,0.00017913673897274052,0.0002030640691859098,0.0002294216545126737,0.0002583941569203052,0.00029017662134322997,0.00032497477486237436,0.0003630054762668866,0.0004044970705736617,0.0004496897688837098
7.325685197345777e-13,1.5004482031844013e-12,2.3603580028008775e-12,3.4146943085622272e-12,4.828593688083194e-12,6.8572092448704325e-12,9.863317194241938e-12,1.4348531477553772e-11,2.0970545178827793e-11,3.0567726735236667e-11,3.722124041274921e-11,4.119590085727154e-11,5.159377656008268e-11,7.471972172934382e-11,1.1993369145035793e-10,2.012289419296709e-10,3.3857358540043125e-10,5.588858312775835e-10,8.973212008503428e-10,1.3983429917457935e-9,2.1169695098473273e-9,3.1201473778795508e-9,4.488074278104909e-9,6.315389817872219e-9,8.7121403580942e-9,1.1804418509949594e-8,1.5734548561210232e-8,2.066070882173615e-8,2.67558794594773e-8,3.420603256112237e-8,4.320753497003005e-8,5.396377261756083e-8,6.66810947252787e-8,8.983543838209443e-8,1.6578725513726952e-7,3.1704171368079903e-7,5.620860383161869e-7,9.230253698701632e-7,1.4416547980734308e-6,2.1704913493779746e-6,3.1635189532024967e-6,4.47689024512133e-6,6.170741567985624e-6,8.31295260959224e-6,1.097984859061308e-5,1.4263577436084661e-5,1.8267959718171016e-5,2.31020013670381e-5,2.8886602716009582e-5,3.5755443269565746e-5,4.385589646016628e-5,5.3349968171388824e-5,6.441525848649172e-5,7.724594948841854e-5,9.205378627951061e-5,0.00010906907427162514,0.00012854169395612068,0.00015074209733060813,0.00017596229449538554,0.00020451686871611387,0.00023674376145090903,0.0002730053811929329,0.0003136895005849778,0.0003592099651755442,0.00041000817376048377,0.00046656202009395884,0.0005293839666782214,0.0005989936870582826,0.000675942085779774,0.0007608106297601358,0.0008542354141201918,0.0009568906785060835,0.0010694399978551728,0.001192583370183718,0.0013270497490284728,0.0014735976678205693,0.0016330174546380183,0.0018061307363122108,0.0019937906834511126,0.002196882901495749,0.0024163286918344362,0.0026530752680256303,0.0029081031342158676,0.003182425182242572,0.0034770881900703337,0.0037931690456137284,0.0041317784468426644,0.004494059997198856,0.00488118986606108,0.005294377333100083,0.005734864406485192,0.006203925902573742,0.006702869113708848,0.007233033737010671,0.007795791803155445,0.008392547831175313,0.009024736096105823,0.009693822780517105,0.01040130478138798,0.011148709196459793
